# convVjpBench per-iteration figures for the PRECEDING build, kept as the
# evidence for the dInp regression that bench/CLAUDE.md records.  This is not
# the diff target; bench/baseline.tsv is.
#
# Taken 2026-08-27 on GHC 9.12.4 at -A32m -I0, ox-arrays 0.2.0.1, and the
# orthotope sibling checkout on speedup-strided-tovector at ec31c47, library
# code at 6ae326e (the mut-odo-vecdims fill, before the canonical dispatch).
# That branch is permanent, so this is reproducible, at the cost of a rebuild
# and a collection; it is kept because it is cited, not because it could not
# be redone.
#
# Columns and their weight are bench/baseline.tsv's.  Diff against it with
#   python3 tools/bench-baseline.py --baseline bench/baseline-2026-08-27.tsv \
#     slow.json cnn24.json fast.json
#
# benchmark	seconds_per_iter	bytes_per_iter
192x192/H-exec	0.0307306887	85581400
192x192/H-exec-raw	0.066563549	157276814
192x192/H-fullpipe	0.0666636486	157931690
192x192/H-term	0.000441474822	1609831
192x192/S-artifact	0.000560759565	1843480
192x192/S-exec	0.0263180443	85527697
192x192/S-exec-raw	0.0658077943	157246016
192x192/S-fullpipe-honest	0.0268228132	87367213
24x24/H-exec	0.000426256621	2267257
24x24/H-exec-raw	0.000584025118	3418963
24x24/H-fullpipe	0.0008365123	4153409
24x24/H-term	0.000444989628	1609831
24x24/S-artifact	0.000561603557	1843479
24x24/S-exec	0.000396679263	2133215
24x24/S-exec-raw	0.000502310462	3307217
24x24/S-fullpipe-honest	0.00101344491	3983267
48x48/H-exec	0.00122312981	6703453
48x48/H-exec-raw	0.00180858615	11214492
48x48/H-fullpipe	0.00207601284	11937431
48x48/H-term	0.00044731066	1609832
48x48/S-artifact	0.000566633766	1843479
48x48/S-exec	0.00120772917	6569624
48x48/S-exec-raw	0.00157579783	11115198
48x48/S-fullpipe-honest	0.00185834847	8429654
6x6/H-exec	0.000133938129	573080
6x6/H-exec-raw	0.000150768488	674143
6x6/H-fullpipe	0.000389193135	1418336
6x6/H-term	0.000442942262	1609833
6x6/S-artifact	0.00056662132	1843482
6x6/S-exec	9.80634727e-05	430235
6x6/S-exec-raw	0.000121549291	554839
6x6/S-fullpipe-honest	0.000691251376	2281905
96x96/H-exec	0.00499017335	23041145
96x96/H-exec-raw	0.00718787657	40991622
96x96/H-fullpipe	0.00735463981	41692593
96x96/H-term	0.000450908791	1609832
96x96/S-artifact	0.000564631729	1843479
96x96/S-exec	0.00460132871	22941003
96x96/S-exec-raw	0.00589191862	40914744
96x96/S-fullpipe-honest	0.00525896984	24787816
cnn-12x12/S-artifact	0.00859841251	28666887
cnn-12x12/S-exec	0.0333169567	148701173
cnn-12x12/S-exec-raw	0.035239116	154448364
cnn-12x12/S-fullpipe-honest	0.0429956108	177269533
cnn-24x24/S-artifact	0.00859340414	28671772
cnn-24x24/S-exec	0.239471805	1676809915
cnn-24x24/S-exec-raw	0.236600509	1698903246
cnn-24x24/S-fullpipe-honest	0.245920451	1702834779
cnn-6x6/S-artifact	0.00744183644	24948568
cnn-6x6/S-exec	0.00357870548	19920472
cnn-6x6/S-exec-raw	0.00397836346	21591899
cnn-6x6/S-fullpipe-honest	0.0111258183	44818159
gather48/fused-gather-ad-orient	0.0121746135	83217278
gather48/fused-gather-shm-sorted-asc	0.0121245375	83230625
gather48/fused-gather-shm-sorted-desc	0.0121291324	83230561
gather48/fused-gather-vec-orient	0.0121094198	83217279
gather48/two-gathers-ad-orient	0.000597699086	4604582
gather48/two-gathers-ad-shm-sorted	0.000601420523	4604583
gather48/two-gathers-ad-shn-sorted	0.000567941357	4619764
